Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
308;C(308, 1, 73, 134);7;4.54723;145595113;924
308;C(308, 1, 82, 135);7;4.54723;145595113;924
308;C(308, 2, 15, 131);7;4.54723;145595113;924
308;C(308, 2, 23, 139);7;4.54723;145595113;924
308;C(308, 3, 62, 97);7;4.54723;145595113;924
308;C(308, 3, 89, 94);7;4.54723;145595113;924
308;C(308, 5, 54, 57);7;4.54723;145595113;924
308;C(308, 5, 59, 102);7;4.54723;145595113;924
308;C(308, 6, 45, 85);7;4.54723;145595113;924
308;C(308, 6, 69, 109);7;4.54723;145595113;924
308;C(308, 9, 17, 122);7;4.54723;145595113;924
308;C(308, 9, 26, 41);7;4.54723;145595113;924
308;C(308, 10, 39, 75);7;4.54723;145595113;924
308;C(308, 10, 79, 115);7;4.54723;145595113;924
308;C(308, 13, 25, 106);7;4.54723;145595113;924
308;C(308, 13, 93, 142);7;4.54723;145595113;924
308;C(308, 15, 137, 146);7;4.54723;145595113;924
308;C(308, 17, 139, 146);7;4.54723;145595113;924
308;C(308, 18, 19, 101);7;4.54723;145595113;924
308;C(308, 18, 53, 135);7;4.54723;145595113;924
308;C(308, 19, 82, 153);7;4.54723;145595113;924
308;C(308, 23, 25, 38);7;4.54723;145595113;924
308;C(308, 26, 113, 145);7;4.54723;145595113;924
308;C(308, 27, 51, 58);7;4.54723;145595113;924
308;C(308, 27, 78, 123);7;4.54723;145595113;924
308;C(308, 29, 39, 118);7;4.54723;145595113;924
308;C(308, 29, 86, 89);7;4.54723;145595113;924
308;C(308, 30, 37, 71);7;4.54723;145595113;924
308;C(308, 30, 83, 117);7;4.54723;145595113;924
308;C(308, 31, 78, 127);7;4.54723;145595113;924
308;C(308, 31, 107, 150);7;4.54723;145595113;924
308;C(308, 34, 53, 71);7;4.54723;145595113;924
308;C(308, 34, 83, 101);7;4.54723;145595113;924
308;C(308, 37, 46, 67);7;4.54723;145595113;924
308;C(308, 38, 129, 131);7;4.54723;145595113;924
308;C(308, 41, 50, 87);7;4.54723;145595113;924
308;C(308, 43, 47, 138);7;4.54723;145595113;924
308;C(308, 43, 59, 90);7;4.54723;145595113;924
308;C(308, 45, 103, 130);7;4.54723;145595113;924
308;C(308, 46, 87, 117);7;4.54723;145595113;924
308;C(308, 47, 123, 150);7;4.54723;145595113;924
308;C(308, 50, 67, 113);7;4.54723;145595113;924
308;C(308, 51, 109, 130);7;4.54723;145595113;924
308;C(308, 54, 97, 149);7;4.54723;145595113;924
308;C(308, 57, 62, 151);7;4.54723;145595113;924
308;C(308, 58, 103, 127);7;4.54723;145595113;924
308;C(308, 61, 74, 81);7;4.54723;145595113;924
308;C(308, 61, 141, 142);7;4.54723;145595113;924
308;C(308, 65, 86, 125);7;4.54723;145595113;924
308;C(308, 65, 94, 151);7;4.54723;145595113;924
308;C(308, 69, 75, 114);7;4.54723;145595113;924
308;C(308, 73, 74, 93);7;4.54723;145595113;924
308;C(308, 79, 85, 114);7;4.54723;145595113;924
308;C(308, 81, 134, 153);7;4.54723;145595113;924
